 Chulha Chauki Da Dhaba | Mahadevapura Restaurant,4.3,"11,733",Chinnappa Reddy Rd
Tashann Multi Cuisine Restaurant,4.2,540,"No. 2/2 A, 1st Floor, Mahadevpura Flyover, near Mega More store"
Punjabi Food Point,3.4,234,address not available
Gilly's Resto-Bar Marathalli East ORR,4.0,"4,065","Opposite EMC2 Corporation, From Marathalli to K R Puram, 62/02, Outer Ring Rd"
Jalsa,4.1,"5,652","25/7, Outer Ring Road, Doddannakundi, Marathahalli, Brindavan Extension, Mahadevapura"
Punjabi canteen,3.8,13,"XMJV+Q3P, Service Rd"
Spice Darbar,3.3,21,"21, 22/3, Outer Ring Rd"
Tandoori Chowk,3.6,515,"204, Akkamma Complex, Outer Ring Road, Mahadevapura, near More Mega Store"
Test Restaurant,no ratings,no reviews,Outer Ring Rd
Brew N Bites Cafe,4.6,311,"railway gate, 10th Cross Rd, next to Geethanjali School Main Road, near Kaggadasapura"
Brunchilly by Sarovar Portico Outer Ring Road,3.8,515,"No. 39/5, Outer Ring Rd"
Chungwok restaurant,4.7,85,"No 11/13 shivaganga complex. shivaganga layout, Outer Ring Rd, behind more megastore"
Ganesh Fast Food Center,3.0,1,"Main Rd, near by Smar kids"
Spicy Delight Restaurant,5.0,5,"XMJV+C9Q, Marha Halli, Outer Ring Rd"
NH47 Kerala Kitchen,3.8,"1,226",address not available
Bhagini Family Restaurant,no ratings,no reviews,"560043, Outer Ring Rd"
Puttaswamy Gowdru hotel/restaurant,no ratings,no reviews,XMJV+6C5
Infinity Family Restaurant,3.8,511,"Akamma Gowda Complex, 20/4, Outer Ring Rd, near Cake Palace bakery"
Kabab Magic,3.7,"4,723","39/5, Outer Ring Rd"
Sri Vishnu Palace,4.2,"3,471","# 39/3, junction"
Delhi Kitchen,4.6,43,"Rajpalya Rajpalya, Bus stop, Rajpalya bus stop left street, ITPL Main Rd"
Imperio Restaurant - kitchens @ Mahadevapura,4.2,460,"Municipal No :66/2/67/1, Whitefield Rd"
Biergarten Whitefield (BGW),4.2,"2,255","2, Rd Number 2"
Kitchen Rabbit,4.3,58,Seetharampalya - Hoodi Rd
Swathi Restaurant,no ratings,no reviews,6th St
R.K. Restaurant Hyderabad Briyani,4.0,5,XPM9+869
Taste Of India Family Restaurant,3.7,93,"#6/6, Jayaram Reddy Building, Hoodi Main Rd, Mahadevpura Post, Bengaluru, 560048, next to Meghna Nursing Home"
Sattvam Whitefield,4.4,"2,357","138/139, ITPL Main Rd, opp. Decathlon, Adjacent to Metro Wholesale"
Amma Restaurant,4.1,156,"778, 1st Cross Street, 9th Cross Rd, above The Chef Bake"
Empire Restaurant,3.5,94,"21, ITPL Main Rd"
